Time,ECG [V],Annotation
[21:38:28.112],-0.259,Awake
[21:38:28.116],-0.251,Awake
[21:38:28.120],-0.251,Awake
[21:38:28.124],-0.251,Awake
[21:38:28.128],-0.243,Awake
[21:38:28.132],-0.243,Awake
[21:38:28.136],-0.235,Awake
[21:38:28.140],-0.235,Awake
[21:38:28.144],-0.227,Awake
[21:38:28.148],-0.227,Awake
[21:38:28.152],-0.22,Awake
[21:38:28.156],-0.22,Awake
[21:38:28.160],-0.22,Awake
[21:38:28.164],-0.212,Awake
[21:38:28.168],-0.204,Awake
[21:38:28.172],-0.196,Awake
[21:38:28.176],-0.188,Awake
[21:38:28.180],-0.18,Awake
[21:38:28.184],-0.173,Awake
[21:38:28.188],-0.188,Awake
[21:38:28.192],-0.196,Awake
[21:38:28.196],-0.196,Awake
[21:38:28.200],-0.204,Awake
[21:38:28.204],-0.212,Awake
[21:38:28.208],-0.22,Awake
[21:38:28.212],-0.22,Awake
[21:38:28.216],-0.22,Awake
[21:38:28.220],-0.22,Awake
[21:38:28.224],-0.227,Awake
[21:38:28.228],-0.235,Awake
[21:38:28.232],-0.251,Awake
[21:38:28.236],-0.267,Awake
[21:38:28.240],-0.282,Awake
[21:38:28.244],-0.29,Awake
[21:38:28.248],-0.29,Awake
[21:38:28.252],-0.29,Awake
[21:38:28.256],-0.29,Awake
[21:38:28.260],-0.29,Awake
[21:38:28.264],-0.29,Awake
[21:38:28.268],-0.282,Awake
[21:38:28.272],-0.298,Awake
[21:38:28.276],-0.298,Awake
[21:38:28.280],-0.29,Awake
[21:38:28.284],-0.29,Awake
[21:38:28.288],-0.29,Awake
[21:38:28.292],-0.29,Awake
[21:38:28.296],-0.282,Awake
[21:38:28.300],-0.275,Awake
[21:38:28.304],-0.275,Awake
[21:38:28.308],-0.251,Awake
[21:38:28.312],-0.173,Awake
[21:38:28.316],-0.024,Awake
[21:38:28.320],0.227,Awake
[21:38:28.324],0.573,Awake
[21:38:28.328],0.965,Awake
[21:38:28.332],0.996,Awake
[21:38:28.336],0.996,Awake
[21:38:28.340],0.996,Awake
[21:38:28.344],0.996,Awake
[21:38:28.348],0.824,Awake
[21:38:28.352],0.157,Awake
[21:38:28.356],-0.416,Awake
[21:38:28.360],-0.722,Awake
[21:38:28.364],-0.776,Awake
[21:38:28.368],-0.69,Awake
[21:38:28.372],-0.557,Awake
[21:38:28.376],-0.455,Awake
[21:38:28.380],-0.408,Awake
[21:38:28.384],-0.392,Awake
[21:38:28.388],-0.408,Awake
[21:38:28.392],-0.416,Awake
[21:38:28.396],-0.424,Awake
[21:38:28.400],-0.416,Awake
[21:38:28.404],-0.416,Awake
[21:38:28.408],-0.416,Awake
[21:38:28.412],-0.408,Awake
[21:38:28.416],-0.4,Awake
[21:38:28.420],-0.4,Awake
[21:38:28.424],-0.4,Awake
[21:38:28.428],-0.392,Awake
[21:38:28.432],-0.392,Awake
[21:38:28.436],-0.392,Awake
[21:38:28.440],-0.392,Awake
[21:38:28.444],-0.384,Awake
[21:38:28.448],-0.384,Awake
[21:38:28.452],-0.376,Awake
[21:38:28.456],-0.376,Awake
[21:38:28.460],-0.376,Awake
[21:38:28.464],-0.369,Awake
[21:38:28.468],-0.369,Awake
[21:38:28.472],-0.361,Awake
[21:38:28.476],-0.361,Awake
[21:38:28.480],-0.361,Awake
[21:38:28.484],-0.353,Awake
[21:38:28.488],-0.353,Awake
[21:38:28.492],-0.345,Awake
[21:38:28.496],-0.345,Awake
[21:38:28.500],-0.337,Awake
[21:38:28.504],-0.337,Awake
[21:38:28.508],-0.337,Awake
[21:38:28.512],-0.337,Awake
[21:38:28.516],-0.329,Awake
[21:38:28.520],-0.322,Awake
[21:38:28.524],-0.322,Awake
[21:38:28.528],-0.322,Awake
[21:38:28.532],-0.314,Awake
[21:38:28.536],-0.306,Awake
[21:38:28.540],-0.306,Awake
[21:38:28.544],-0.298,Awake
[21:38:28.548],-0.29,Awake
[21:38:28.552],-0.282,Awake
[21:38:28.556],-0.282,Awake
[21:38:28.560],-0.275,Awake
[21:38:28.564],-0.267,Awake
[21:38:28.568],-0.251,Awake
[21:38:28.572],-0.243,Awake
[21:38:28.576],-0.243,Awake
[21:38:28.580],-0.227,Awake
[21:38:28.584],-0.22,Awake
[21:38:28.588],-0.22,Awake
[21:38:28.592],-0.204,Awake
[21:38:28.596],-0.196,Awake
[21:38:28.600],-0.196,Awake
[21:38:28.604],-0.188,Awake
[21:38:28.608],-0.188,Awake
[21:38:28.612],-0.18,Awake
[21:38:28.616],-0.173,Awake
[21:38:28.620],-0.173,Awake
[21:38:28.624],-0.173,Awake
[21:38:28.628],-0.173,Awake
[21:38:28.632],-0.173,Awake
[21:38:28.636],-0.173,Awake
[21:38:28.640],-0.18,Awake
[21:38:28.644],-0.188,Awake
[21:38:28.648],-0.196,Awake
[21:38:28.652],-0.204,Awake
[21:38:28.656],-0.212,Awake
[21:38:28.660],-0.22,Awake
[21:38:28.664],-0.227,Awake
[21:38:28.668],-0.243,Awake
[21:38:28.672],-0.243,Awake
[21:38:28.676],-0.259,Awake
[21:38:28.680],-0.267,Awake
[21:38:28.684],-0.267,Awake
[21:38:28.688],-0.275,Awake
[21:38:28.692],-0.275,Awake
[21:38:28.696],-0.282,Awake
[21:38:28.700],-0.282,Awake
[21:38:28.704],-0.282,Awake
[21:38:28.708],-0.282,Awake
[21:38:28.712],-0.282,Awake
[21:38:28.716],-0.282,Awake
[21:38:28.720],-0.29,Awake
[21:38:28.724],-0.29,Awake
[21:38:28.728],-0.29,Awake
[21:38:28.732],-0.282,Awake
[21:38:28.736],-0.282,Awake
[21:38:28.740],-0.282,Awake
[21:38:28.744],-0.282,Awake
[21:38:28.748],-0.282,Awake
[21:38:28.752],-0.282,Awake
[21:38:28.756],-0.282,Awake
[21:38:28.760],-0.282,Awake
[21:38:28.764],-0.282,Awake
[21:38:28.768],-0.282,Awake
[21:38:28.772],-0.282,Awake
[21:38:28.776],-0.282,Awake
[21:38:28.780],-0.282,Awake
[21:38:28.784],-0.282,Awake
[21:38:28.788],-0.275,Awake
[21:38:28.792],-0.275,Awake
[21:38:28.796],-0.275,Awake
[21:38:28.800],-0.267,Awake
[21:38:28.804],-0.267,Awake
[21:38:28.808],-0.267,Awake
[21:38:28.812],-0.267,Awake
[21:38:28.816],-0.259,Awake
[21:38:28.820],-0.259,Awake
[21:38:28.824],-0.259,Awake
[21:38:28.828],-0.251,Awake
[21:38:28.832],-0.251,Awake
[21:38:28.836],-0.243,Awake
[21:38:28.840],-0.243,Awake
[21:38:28.844],-0.243,Awake
[21:38:28.848],-0.243,Awake
[21:38:28.852],-0.235,Awake
[21:38:28.856],-0.235,Awake
[21:38:28.860],-0.235,Awake
[21:38:28.864],-0.235,Awake
[21:38:28.868],-0.227,Awake
[21:38:28.872],-0.227,Awake
[21:38:28.876],-0.235,Awake
[21:38:28.880],-0.227,Awake
[21:38:28.884],-0.227,Awake
[21:38:28.888],-0.235,Awake
[21:38:28.892],-0.235,Awake
[21:38:28.896],-0.235,Awake
[21:38:28.900],-0.227,Awake
[21:38:28.904],-0.235,Awake
[21:38:28.908],-0.235,Awake
[21:38:28.912],-0.243,Awake
[21:38:28.916],-0.235,Awake
[21:38:28.920],-0.243,Awake
[21:38:28.924],-0.243,Awake
[21:38:28.928],-0.243,Awake
[21:38:28.932],-0.243,Awake
[21:38:28.936],-0.243,Awake
[21:38:28.940],-0.251,Awake
[21:38:28.944],-0.251,Awake
[21:38:28.948],-0.243,Awake
[21:38:28.952],-0.243,Awake
[21:38:28.956],-0.243,Awake
[21:38:28.960],-0.243,Awake
[21:38:28.964],-0.243,Awake
[21:38:28.968],-0.243,Awake
[21:38:28.972],-0.251,Awake
[21:38:28.976],-0.251,Awake
[21:38:28.980],-0.251,Awake
[21:38:28.984],-0.251,Awake
[21:38:28.988],-0.251,Awake
[21:38:28.992],-0.251,Awake
[21:38:28.996],-0.251,Awake
[21:38:29.000],-0.251,Awake
[21:38:29.004],-0.251,Awake
[21:38:29.008],-0.251,Awake
[21:38:29.012],-0.251,Awake
[21:38:29.016],-0.243,Awake
[21:38:29.020],-0.251,Awake
[21:38:29.024],-0.251,Awake
[21:38:29.028],-0.251,Awake
[21:38:29.032],-0.243,Awake
[21:38:29.036],-0.243,Awake
[21:38:29.040],-0.243,Awake
[21:38:29.044],-0.243,Awake
[21:38:29.048],-0.235,Awake
[21:38:29.052],-0.235,Awake
[21:38:29.056],-0.243,Awake
[21:38:29.060],-0.227,Awake
[21:38:29.064],-0.227,Awake
[21:38:29.068],-0.22,Awake
[21:38:29.072],-0.22,Awake
[21:38:29.076],-0.22,Awake
[21:38:29.080],-0.212,Awake
[21:38:29.084],-0.212,Awake
[21:38:29.088],-0.212,Awake
[21:38:29.092],-0.204,Awake
[21:38:29.096],-0.196,Awake
[21:38:29.100],-0.18,Awake
[21:38:29.104],-0.173,Awake
[21:38:29.108],-0.165,Awake
[21:38:29.112],-0.165,Awake
[21:38:29.116],-0.165,Awake
[21:38:29.120],-0.173,Awake
[21:38:29.124],-0.188,Awake
[21:38:29.128],-0.196,Awake
[21:38:29.132],-0.196,Awake
[21:38:29.136],-0.204,Awake
[21:38:29.140],-0.204,Awake
[21:38:29.144],-0.212,Awake
[21:38:29.148],-0.212,Awake
[21:38:29.152],-0.235,Awake
[21:38:29.156],-0.243,Awake
[21:38:29.160],-0.259,Awake
[21:38:29.164],-0.267,Awake
[21:38:29.168],-0.275,Awake
[21:38:29.172],-0.282,Awake
[21:38:29.176],-0.282,Awake
[21:38:29.180],-0.282,Awake
[21:38:29.184],-0.282,Awake
[21:38:29.188],-0.282,Awake
[21:38:29.192],-0.282,Awake
[21:38:29.196],-0.282,Awake
[21:38:29.200],-0.282,Awake
[21:38:29.204],-0.275,Awake
[21:38:29.208],-0.282,Awake
[21:38:29.212],-0.275,Awake
[21:38:29.216],-0.275,Awake
[21:38:29.220],-0.275,Awake
[21:38:29.224],-0.275,Awake
[21:38:29.228],-0.267,Awake
[21:38:29.232],-0.243,Awake
[21:38:29.236],-0.188,Awake
[21:38:29.240],-0.071,Awake
[21:38:29.244],0.157,Awake
[21:38:29.248],0.478,Awake
[21:38:29.252],0.863,Awake
[21:38:29.256],0.996,Awake
[21:38:29.260],0.996,Awake
[21:38:29.264],0.996,Awake
[21:38:29.268],0.996,Awake
[21:38:29.272],0.949,Awake
[21:38:29.276],0.306,Awake
[21:38:29.280],-0.282,Awake
[21:38:29.284],-0.651,Awake
[21:38:29.288],-0.769,Awake
[21:38:29.292],-0.714,Awake
[21:38:29.296],-0.588,Awake
[21:38:29.300],-0.486,Awake
[21:38:29.304],-0.424,Awake
[21:38:29.308],-0.4,Awake
[21:38:29.312],-0.4,Awake
[21:38:29.316],-0.4,Awake
[21:38:29.320],-0.408,Awake
[21:38:29.324],-0.408,Awake
[21:38:29.328],-0.4,Awake
[21:38:29.332],-0.392,Awake
[21:38:29.336],-0.392,Awake
[21:38:29.340],-0.392,Awake
[21:38:29.344],-0.392,Awake
[21:38:29.348],-0.384,Awake
[21:38:29.352],-0.384,Awake
[21:38:29.356],-0.384,Awake
[21:38:29.360],-0.376,Awake
[21:38:29.364],-0.376,Awake
[21:38:29.368],-0.369,Awake
[21:38:29.372],-0.361,Awake
[21:38:29.376],-0.361,Awake
[21:38:29.380],-0.353,Awake
[21:38:29.384],-0.353,Awake
[21:38:29.388],-0.361,Awake
[21:38:29.392],-0.361,Awake
[21:38:29.396],-0.353,Awake
[21:38:29.400],-0.345,Awake
[21:38:29.404],-0.345,Awake
[21:38:29.408],-0.345,Awake
[21:38:29.412],-0.337,Awake
[21:38:29.416],-0.337,Awake
[21:38:29.420],-0.337,Awake
[21:38:29.424],-0.337,Awake
[21:38:29.428],-0.329,Awake
[21:38:29.432],-0.329,Awake
[21:38:29.436],-0.329,Awake
[21:38:29.440],-0.329,Awake
[21:38:29.444],-0.322,Awake
[21:38:29.448],-0.314,Awake
[21:38:29.452],-0.306,Awake
[21:38:29.456],-0.306,Awake
[21:38:29.460],-0.298,Awake
[21:38:29.464],-0.29,Awake
[21:38:29.468],-0.29,Awake
[21:38:29.472],-0.282,Awake
[21:38:29.476],-0.275,Awake
[21:38:29.480],-0.267,Awake
[21:38:29.484],-0.267,Awake
[21:38:29.488],-0.251,Awake
[21:38:29.492],-0.251,Awake
[21:38:29.496],-0.235,Awake
[21:38:29.500],-0.22,Awake
[21:38:29.504],-0.212,Awake
[21:38:29.508],-0.212,Awake
[21:38:29.512],-0.204,Awake
[21:38:29.516],-0.196,Awake
[21:38:29.520],-0.188,Awake
[21:38:29.524],-0.188,Awake
[21:38:29.528],-0.188,Awake
[21:38:29.532],-0.18,Awake
[21:38:29.536],-0.18,Awake
[21:38:29.540],-0.188,Awake
[21:38:29.544],-0.18,Awake
[21:38:29.548],-0.188,Awake
[21:38:29.552],-0.188,Awake
[21:38:29.556],-0.188,Awake
[21:38:29.560],-0.196,Awake
[21:38:29.564],-0.188,Awake
[21:38:29.568],-0.188,Awake
[21:38:29.572],-0.204,Awake
[21:38:29.576],-0.212,Awake
[21:38:29.580],-0.22,Awake
[21:38:29.584],-0.227,Awake
[21:38:29.588],-0.235,Awake
[21:38:29.592],-0.251,Awake
[21:38:29.596],-0.251,Awake
[21:38:29.600],-0.259,Awake
[21:38:29.604],-0.267,Awake
[21:38:29.608],-0.282,Awake
[21:38:29.612],-0.282,Awake
[21:38:29.616],-0.282,Awake
[21:38:29.620],-0.29,Awake
[21:38:29.624],-0.298,Awake
[21:38:29.628],-0.298,Awake
[21:38:29.632],-0.298,Awake
[21:38:29.636],-0.298,Awake
[21:38:29.640],-0.298,Awake
[21:38:29.644],-0.298,Awake
[21:38:29.648],-0.298,Awake
[21:38:29.652],-0.306,Awake
[21:38:29.656],-0.314,Awake
[21:38:29.660],-0.306,Awake
[21:38:29.664],-0.306,Awake
[21:38:29.668],-0.306,Awake
[21:38:29.672],-0.298,Awake
[21:38:29.676],-0.306,Awake
[21:38:29.680],-0.298,Awake
[21:38:29.684],-0.298,Awake
[21:38:29.688],-0.306,Awake
[21:38:29.692],-0.306,Awake
[21:38:29.696],-0.306,Awake
[21:38:29.700],-0.298,Awake
[21:38:29.704],-0.298,Awake
[21:38:29.708],-0.29,Awake
[21:38:29.712],-0.29,Awake
[21:38:29.716],-0.282,Awake
[21:38:29.720],-0.282,Awake
[21:38:29.724],-0.29,Awake
[21:38:29.728],-0.282,Awake
[21:38:29.732],-0.282,Awake
[21:38:29.736],-0.275,Awake
[21:38:29.740],-0.267,Awake
[21:38:29.744],-0.267,Awake
[21:38:29.748],-0.259,Awake
[21:38:29.752],-0.251,Awake
[21:38:29.756],-0.251,Awake
[21:38:29.760],-0.251,Awake
[21:38:29.764],-0.243,Awake
[21:38:29.768],-0.235,Awake
[21:38:29.772],-0.243,Awake
[21:38:29.776],-0.235,Awake
[21:38:29.780],-0.243,Awake
[21:38:29.784],-0.235,Awake
[21:38:29.788],-0.235,Awake
[21:38:29.792],-0.235,Awake
[21:38:29.796],-0.235,Awake
[21:38:29.800],-0.235,Awake
[21:38:29.804],-0.243,Awake
[21:38:29.808],-0.235,Awake
[21:38:29.812],-0.243,Awake
[21:38:29.816],-0.243,Awake
[21:38:29.820],-0.243,Awake
[21:38:29.824],-0.251,Awake
[21:38:29.828],-0.243,Awake
[21:38:29.832],-0.243,Awake
[21:38:29.836],-0.243,Awake
[21:38:29.840],-0.243,Awake
[21:38:29.844],-0.251,Awake
[21:38:29.848],-0.251,Awake
[21:38:29.852],-0.251,Awake
[21:38:29.856],-0.251,Awake
[21:38:29.860],-0.251,Awake
[21:38:29.864],-0.243,Awake
[21:38:29.868],-0.251,Awake
[21:38:29.872],-0.251,Awake
[21:38:29.876],-0.251,Awake
[21:38:29.880],-0.251,Awake
[21:38:29.884],-0.251,Awake
[21:38:29.888],-0.259,Awake
[21:38:29.892],-0.259,Awake
[21:38:29.896],-0.251,Awake
[21:38:29.900],-0.243,Awake
[21:38:29.904],-0.251,Awake
[21:38:29.908],-0.251,Awake
[21:38:29.912],-0.251,Awake
[21:38:29.916],-0.259,Awake
[21:38:29.920],-0.259,Awake
[21:38:29.924],-0.259,Awake
[21:38:29.928],-0.251,Awake
[21:38:29.932],-0.243,Awake
[21:38:29.936],-0.243,Awake
[21:38:29.940],-0.235,Awake
[21:38:29.944],-0.235,Awake
[21:38:29.948],-0.227,Awake
[21:38:29.952],-0.227,Awake
[21:38:29.956],-0.227,Awake
[21:38:29.960],-0.22,Awake
[21:38:29.964],-0.22,Awake
[21:38:29.968],-0.212,Awake
[21:38:29.972],-0.204,Awake
[21:38:29.976],-0.196,Awake
[21:38:29.980],-0.18,Awake
[21:38:29.984],-0.173,Awake
[21:38:29.988],-0.173,Awake
[21:38:29.992],-0.173,Awake
[21:38:29.996],-0.18,Awake
[21:38:30.000],-0.188,Awake
[21:38:30.004],-0.204,Awake
[21:38:30.008],-0.212,Awake
[21:38:30.012],-0.22,Awake
[21:38:30.016],-0.22,Awake
[21:38:30.020],-0.22,Awake
[21:38:30.024],-0.227,Awake
[21:38:30.028],-0.227,Awake
[21:38:30.032],-0.235,Awake
[21:38:30.036],-0.243,Awake
[21:38:30.040],-0.267,Awake
[21:38:30.044],-0.275,Awake
[21:38:30.048],-0.282,Awake
[21:38:30.052],-0.282,Awake
[21:38:30.056],-0.29,Awake
[21:38:30.060],-0.29,Awake
[21:38:30.064],-0.282,Awake
[21:38:30.068],-0.282,Awake
[21:38:30.072],-0.282,Awake
[21:38:30.076],-0.29,Awake
[21:38:30.080],-0.282,Awake
[21:38:30.084],-0.29,Awake
[21:38:30.088],-0.29,Awake
[21:38:30.092],-0.282,Awake
[21:38:30.096],-0.282,Awake
[21:38:30.100],-0.275,Awake
[21:38:30.104],-0.275,Awake
[21:38:30.108],-0.259,Awake
[21:38:30.112],-0.227,Awake
[21:38:30.116],-0.133,Awake
[21:38:30.120],0.031,Awake
[21:38:30.124],0.298,Awake
[21:38:30.128],0.651,Awake
[21:38:30.132],0.996,Awake
[21:38:30.136],0.996,Awake
[21:38:30.140],0.996,Awake
[21:38:30.144],0.996,Awake
[21:38:30.148],0.996,Awake
[21:38:30.152],0.573,Awake
[21:38:30.156],-0.071,Awake
[21:38:30.160],-0.557,Awake
[21:38:30.164],-0.784,Awake
[21:38:30.168],-0.792,Awake
[21:38:30.172],-0.682,Awake
[21:38:30.176],-0.557,Awake
[21:38:30.180],-0.455,Awake
[21:38:30.184],-0.408,Awake
[21:38:30.188],-0.392,Awake
[21:38:30.192],-0.4,Awake
[21:38:30.196],-0.4,Awake
[21:38:30.200],-0.4,Awake
[21:38:30.204],-0.4,Awake
[21:38:30.208],-0.4,Awake
[21:38:30.212],-0.392,Awake
[21:38:30.216],-0.384,Awake
[21:38:30.220],-0.376,Awake
[21:38:30.224],-0.376,Awake
[21:38:30.228],-0.376,Awake
[21:38:30.232],-0.369,Awake
[21:38:30.236],-0.361,Awake
[21:38:30.240],-0.361,Awake
[21:38:30.244],-0.361,Awake
[21:38:30.248],-0.353,Awake
[21:38:30.252],-0.353,Awake
[21:38:30.256],-0.353,Awake
[21:38:30.260],-0.353,Awake
[21:38:30.264],-0.353,Awake
[21:38:30.268],-0.345,Awake
[21:38:30.272],-0.345,Awake
[21:38:30.276],-0.345,Awake
[21:38:30.280],-0.337,Awake
[21:38:30.284],-0.329,Awake
[21:38:30.288],-0.337,Awake
[21:38:30.292],-0.329,Awake
[21:38:30.296],-0.322,Awake
[21:38:30.300],-0.322,Awake
[21:38:30.304],-0.322,Awake
[21:38:30.308],-0.322,Awake
[21:38:30.312],-0.314,Awake
[21:38:30.316],-0.306,Awake
[21:38:30.320],-0.306,Awake
[21:38:30.324],-0.306,Awake
[21:38:30.328],-0.298,Awake
[21:38:30.332],-0.298,Awake
[21:38:30.336],-0.29,Awake
[21:38:30.340],-0.29,Awake
[21:38:30.344],-0.282,Awake
[21:38:30.348],-0.275,Awake
[21:38:30.352],-0.267,Awake
[21:38:30.356],-0.259,Awake
[21:38:30.360],-0.251,Awake
[21:38:30.364],-0.243,Awake
[21:38:30.368],-0.235,Awake
[21:38:30.372],-0.227,Awake
[21:38:30.376],-0.22,Awake
[21:38:30.380],-0.212,Awake
[21:38:30.384],-0.204,Awake
[21:38:30.388],-0.196,Awake
[21:38:30.392],-0.188,Awake
[21:38:30.396],-0.18,Awake
[21:38:30.400],-0.173,Awake
[21:38:30.404],-0.18,Awake
[21:38:30.408],-0.18,Awake
[21:38:30.412],-0.173,Awake
[21:38:30.416],-0.173,Awake
[21:38:30.420],-0.173,Awake
[21:38:30.424],-0.173,Awake
[21:38:30.428],-0.173,Awake
[21:38:30.432],-0.173,Awake
[21:38:30.436],-0.18,Awake
[21:38:30.440],-0.188,Awake
[21:38:30.444],-0.188,Awake
[21:38:30.448],-0.196,Awake
[21:38:30.452],-0.212,Awake
[21:38:30.456],-0.22,Awake
[21:38:30.460],-0.227,Awake
[21:38:30.464],-0.235,Awake
[21:38:30.468],-0.243,Awake
[21:38:30.472],-0.259,Awake
[21:38:30.476],-0.267,Awake
[21:38:30.480],-0.275,Awake
[21:38:30.484],-0.275,Awake
[21:38:30.488],-0.29,Awake
[21:38:30.492],-0.298,Awake
[21:38:30.496],-0.298,Awake
[21:38:30.500],-0.298,Awake
[21:38:30.504],-0.298,Awake
[21:38:30.508],-0.306,Awake
[21:38:30.512],-0.298,Awake
[21:38:30.516],-0.298,Awake
[21:38:30.520],-0.298,Awake
[21:38:30.524],-0.306,Awake
[21:38:30.528],-0.306,Awake
[21:38:30.532],-0.306,Awake
[21:38:30.536],-0.306,Awake
[21:38:30.540],-0.314,Awake
[21:38:30.544],-0.314,Awake
[21:38:30.548],-0.314,Awake
[21:38:30.552],-0.314,Awake
[21:38:30.556],-0.314,Awake
[21:38:30.560],-0.314,Awake
[21:38:30.564],-0.314,Awake
[21:38:30.568],-0.306,Awake
[21:38:30.572],-0.306,Awake
[21:38:30.576],-0.306,Awake
[21:38:30.580],-0.306,Awake
[21:38:30.584],-0.298,Awake
[21:38:30.588],-0.298,Awake
[21:38:30.592],-0.298,Awake
[21:38:30.596],-0.29,Awake
[21:38:30.600],-0.29,Awake
[21:38:30.604],-0.282,Awake
[21:38:30.608],-0.282,Awake
[21:38:30.612],-0.275,Awake
[21:38:30.616],-0.267,Awake
[21:38:30.620],-0.267,Awake
[21:38:30.624],-0.259,Awake
[21:38:30.628],-0.259,Awake
[21:38:30.632],-0.251,Awake
[21:38:30.636],-0.243,Awake
[21:38:30.640],-0.243,Awake
[21:38:30.644],-0.243,Awake
[21:38:30.648],-0.235,Awake
[21:38:30.652],-0.235,Awake
[21:38:30.656],-0.243,Awake
[21:38:30.660],-0.243,Awake
[21:38:30.664],-0.235,Awake
[21:38:30.668],-0.235,Awake
[21:38:30.672],-0.235,Awake
[21:38:30.676],-0.235,Awake
[21:38:30.680],-0.235,Awake
[21:38:30.684],-0.235,Awake
[21:38:30.688],-0.243,Awake
[21:38:30.692],-0.243,Awake
[21:38:30.696],-0.243,Awake
[21:38:30.700],-0.243,Awake
[21:38:30.704],-0.243,Awake
[21:38:30.708],-0.251,Awake
[21:38:30.712],-0.259,Awake
[21:38:30.716],-0.251,Awake
[21:38:30.720],-0.251,Awake
[21:38:30.724],-0.251,Awake
[21:38:30.728],-0.251,Awake
[21:38:30.732],-0.251,Awake
[21:38:30.736],-0.251,Awake
[21:38:30.740],-0.259,Awake
[21:38:30.744],-0.259,Awake
[21:38:30.748],-0.259,Awake
[21:38:30.752],-0.259,Awake
[21:38:30.756],-0.259,Awake
[21:38:30.760],-0.259,Awake
[21:38:30.764],-0.259,Awake
[21:38:30.768],-0.251,Awake
[21:38:30.772],-0.259,Awake
[21:38:30.776],-0.259,Awake
[21:38:30.780],-0.259,Awake
[21:38:30.784],-0.251,Awake
[21:38:30.788],-0.259,Awake
[21:38:30.792],-0.259,Awake
[21:38:30.796],-0.259,Awake
[21:38:30.800],-0.267,Awake
[21:38:30.804],-0.267,Awake
[21:38:30.808],-0.267,Awake
[21:38:30.812],-0.267,Awake
[21:38:30.816],-0.267,Awake
[21:38:30.820],-0.267,Awake
[21:38:30.824],-0.267,Awake
[21:38:30.828],-0.267,Awake
[21:38:30.832],-0.251,Awake
[21:38:30.836],-0.251,Awake
[21:38:30.840],-0.243,Awake
[21:38:30.844],-0.243,Awake
[21:38:30.848],-0.235,Awake
[21:38:30.852],-0.235,Awake
[21:38:30.856],-0.235,Awake
[21:38:30.860],-0.235,Awake
[21:38:30.864],-0.227,Awake
[21:38:30.868],-0.22,Awake
[21:38:30.872],-0.22,Awake
[21:38:30.876],-0.212,Awake
[21:38:30.880],-0.196,Awake
[21:38:30.884],-0.188,Awake
[21:38:30.888],-0.188,Awake
[21:38:30.892],-0.196,Awake
[21:38:30.896],-0.196,Awake
[21:38:30.900],-0.196,Awake
[21:38:30.904],-0.204,Awake
[21:38:30.908],-0.22,Awake
[21:38:30.912],-0.227,Awake
[21:38:30.916],-0.227,Awake
[21:38:30.920],-0.227,Awake
[21:38:30.924],-0.235,Awake
[21:38:30.928],-0.235,Awake
[21:38:30.932],-0.243,Awake
[21:38:30.936],-0.259,Awake
[21:38:30.940],-0.275,Awake
[21:38:30.944],-0.29,Awake
[21:38:30.948],-0.29,Awake
[21:38:30.952],-0.298,Awake
[21:38:30.956],-0.306,Awake
[21:38:30.960],-0.298,Awake
[21:38:30.964],-0.298,Awake
[21:38:30.968],-0.298,Awake
[21:38:30.972],-0.298,Awake
[21:38:30.976],-0.298,Awake
[21:38:30.980],-0.298,Awake
[21:38:30.984],-0.29,Awake
[21:38:30.988],-0.298,Awake
[21:38:30.992],-0.298,Awake
[21:38:30.996],-0.298,Awake
[21:38:31.000],-0.298,Awake
[21:38:31.004],-0.29,Awake
[21:38:31.008],-0.275,Awake
[21:38:31.012],-0.243,Awake
[21:38:31.016],-0.149,Awake
[21:38:31.020],0.024,Awake
[21:38:31.024],0.29,Awake
[21:38:31.028],0.643,Awake
[21:38:31.032],0.996,Awake
[21:38:31.036],0.996,Awake
[21:38:31.040],0.996,Awake
[21:38:31.044],0.996,Awake
[21:38:31.048],0.996,Awake
[21:38:31.052],0.635,Awake
[21:38:31.056],-0.024,Awake
[21:38:31.060],-0.533,Awake
[21:38:31.064],-0.784,Awake
[21:38:31.068],-0.792,Awake
[21:38:31.072],-0.69,Awake
[21:38:31.076],-0.565,Awake
[21:38:31.080],-0.471,Awake
[21:38:31.084],-0.424,Awake
[21:38:31.088],-0.416,Awake
[21:38:31.092],-0.416,Awake
[21:38:31.096],-0.416,Awake
[21:38:31.100],-0.424,Awake
[21:38:31.104],-0.424,Awake
[21:38:31.108],-0.416,Awake
[21:38:31.112],-0.416,Awake
[21:38:31.116],-0.408,Awake
[21:38:31.120],-0.408,Awake
[21:38:31.124],-0.4,Awake
[21:38:31.128],-0.4,Awake
[21:38:31.132],-0.392,Awake
[21:38:31.136],-0.392,Awake
[21:38:31.140],-0.392,Awake
[21:38:31.144],-0.384,Awake
[21:38:31.148],-0.384,Awake
[21:38:31.152],-0.376,Awake
[21:38:31.156],-0.376,Awake
[21:38:31.160],-0.376,Awake
[21:38:31.164],-0.369,Awake
[21:38:31.168],-0.369,Awake
[21:38:31.172],-0.369,Awake
[21:38:31.176],-0.369,Awake
[21:38:31.180],-0.361,Awake
[21:38:31.184],-0.353,Awake
[21:38:31.188],-0.353,Awake
[21:38:31.192],-0.353,Awake
[21:38:31.196],-0.345,Awake
[21:38:31.200],-0.345,Awake
[21:38:31.204],-0.345,Awake
[21:38:31.208],-0.345,Awake
[21:38:31.212],-0.337,Awake
[21:38:31.216],-0.329,Awake
[21:38:31.220],-0.329,Awake
[21:38:31.224],-0.322,Awake
